expression,reading,meaning,tags
母,はは,(my) mother,JLPT N5
早い,はやい,early,JLPT N5
速い,はやい,"fast, quick",JLPT N5
春,はる,spring,JLPT N5
貼る,はる,to post; to paste; to attach,JLPT N5
晴れ,はれ,clear (sunny) weather,JLPT N5
晴れる,はれる,to be sunny,JLPT N5
半,はん,"half (e.g., にじはん | half-past two)",JLPT N5
晩,ばん,evening,JLPT N5
～番,～ばん,~st; ~th best,JLPT N5
パン,パン,bread,JLPT N5
ハンカチ,ハンカチ,handkerchief,JLPT N5
番号,ばんごう,"number, series of digits",JLPT N5
晩御飯,ばんごはん,"dinner, evening meal",JLPT N5
半分,はんぶん,half,JLPT N5
東,ひがし,east,JLPT N5
～匹,～ひき,counter for small animals,JLPT N5
引く,ひく,"to pull, to draw; subtract",JLPT N5
弾く,ひく,to play (a string instrument or piano),JLPT N5
低い,ひくい,"short, low",JLPT N5
飛行機,ひこうき,airplane,JLPT N5
左,ひだり,left hand side,JLPT N5
人,ひと,"man, person",JLPT N5
一つ,ひとつ,one thing,JLPT N5
一月,ひとつき,one month,JLPT N5
一人,ひとり,one person,JLPT N5
暇,ひま,"free time, leisure",JLPT N5
百,ひゃく,hundred,JLPT N5
病院,びょういん,hospital,JLPT N5
病気,びょうき,illness; sickness,JLPT N5
平仮名,ひらがな,hiragana,JLPT N5
昼,ひる,"noon, daytime",JLPT N5
昼御飯,ひるごはん,"lunch, midday meal",JLPT N5
広い,ひろい,spacious; wide; broad,JLPT N5
フィルム,フィルム,film (roll of),JLPT N5
封筒,ふうとう,envelope,JLPT N5
プール,プール,swimming pool,JLPT N5
フォーク,フォーク,fork,JLPT N5
吹く,ふく,"to blow (wind, etc.)",JLPT N5
服,ふく,clothes,JLPT N5
二つ,ふたつ,two things,JLPT N5
豚肉,ぶたにく,pork,JLPT N5
二人,ふたり,two people,JLPT N5
二日,ふつか,two days; second day of the month,JLPT N5
太い,ふとい,"fat, thick",JLPT N5
冬,ふゆ,winter,JLPT N5
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",JLPT N5
古い,ふるい,"old (in reference to objects, not people), aged, ancient",JLPT N5
～分,～ふん,~ minutes,JLPT N5
文章,ぶんしょう,"sentence, text",JLPT N5
ページ,ページ,a page,JLPT N5
下手,へた,"unskillful, poor",JLPT N5
ベッド,ベッド,bed,JLPT N5
ペット,ペット,pet,JLPT N5
部屋,へや,a room,JLPT N5
辺,へん,"area, vicinity",JLPT N5
ペン,ペン,pen,JLPT N5
勉強,べんきょう (する),study,JLPT N5
便利,べんり,"convenient, handy",JLPT N5
帽子,ぼうし,hat; cap,JLPT N5
ボールペン,ボールペン,ball-point pen,JLPT N5
外,ほか,"other, the rest",JLPT N5
ポケット,ポケット,pocket,JLPT N5
欲しい,ほしい,"to want, in need of",JLPT N5
ポスト,ポスト,"mailbox; post, position",JLPT N5
細い,ほそい,"thin, slender, fine",JLPT N5
ボタン,ボタン,button,JLPT N5
ホテル,ホテル,hotel,JLPT N5
本,ほん,book,JLPT N5
～本,～ほん,counter for long cylindrical things,JLPT N5
本棚,ほんだな,bookshelf,JLPT N5
本当,ほんとう,"real, true",JLPT N5
～枚,～まい,counter for flat things,JLPT N5
毎朝,まいあさ,every morning,JLPT N5
毎月,まいげつ; まいつき,"every month, monthly",JLPT N5
毎週,まいしゅう,every week,JLPT N5
